Q2,72.39,72.44,0.00,20V/4.2A/52mΩ/1.4W,ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
Q3,130.00,38.45,0.00,SI1308EDL-T1-GE3,SOT65P210X110-3N
R1,30.48,86.28,0.00,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R10,30.02,11.67,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_BAT,46.99,93.98,0.00,200,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PINH1,88.36,59.61,0.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PWRUSB,59.19,74.98,90.00,100k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PWRUSB1,50.37,32.99,0.00,100k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,149.75,49.99,0.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB2,149.75,51.02,0.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,57.15,88.90,0.00,2k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_PINH1,83.28,59.61,0.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,123.65,35.91,0.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,123.65,38.45,0.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,24.94,11.67,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,19.86,11.67,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,14.78,11.67,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,9.70,11.67,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,4.62,11.67,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,25.40,109.22,180.00,BUTTON_CUSYOMV1,MYBUTTON
RX,1.28,70.60,0.00,TPTP20R,TP20R
